repo,cbo_mean_mean,cbo_mean_median,cbo_mean_std,cbo_sum_mean,cbo_sum_median,cbo_sum_std,wmc_mean_mean,wmc_mean_median,wmc_mean_std,wmc_sum_mean,wmc_sum_median,wmc_sum_std,loc_sum_mean,loc_sum_median,loc_sum_std,loc_mean_mean,loc_mean_median,loc_mean_std,fanout_sum_mean,fanout_sum_median,fanout_sum_std,fanin_sum_mean,fanin_sum_median,fanin_sum_std,loopQty_sum_mean,loopQty_sum_median,loopQty_sum_std,comparisonsQty_sum_mean,comparisonsQty_sum_median,comparisonsQty_sum_std,methodsInvokedQty_sum_mean,methodsInvokedQty_sum_median,methodsInvokedQty_sum_std,methodsInvokedLocalQty_sum_mean,methodsInvokedLocalQty_sum_median,methodsInvokedLocalQty_sum_std,methodsInvokedIndirectLocalQty_sum_mean,methodsInvokedIndirectLocalQty_sum_median,methodsInvokedIndirectLocalQty_sum_std,hasJavaDoc_ratio_mean,hasJavaDoc_ratio_median,hasJavaDoc_ratio_std,stars,releases_count,idade
Baseflow_PhotoView,4.038502673796792,4.038502673796792,3.0568188337497597,315.0,315.0,50.91168824543142,4.907427213309567,4.907427213309567,4.247850505352626,356.0,356.0,0.0,1599.5,1599.5,272.2361107568208,23.67314319667261,23.67314319667261,22.83824657776715,199.5,199.5,19.091883092036785,115.5,115.5,70.0035713374682,0.0,0.0,0.0,62.0,62.0,0.0,185.5,185.5,262.33661582020915,24.5,24.5,34.64823227814083,52.5,52.5,74.24621202458749,0.0427807486631016,0.0427807486631016,0.06050111496783294,,,
Bearded-Hen_Android-Bootstrap,6.119943264440153,6.119943264440153,5.719947545684929,952.5,952.5,211.4249275747777,6.674533361939498,6.674533361939498,6.994304020558804,918.0,918.0,0.0,9098.0,9098.0,1825.7497090236657,73.10438866242342,73.10438866242342,82.59281625541806,552.5,552.5,3.5355339059327378,400.0,400.0,207.88939366884497,24.0,24.0,0.0,81.0,81.0,0.0,616.0,616.0,871.1555544218265,106.0,106.0,149.90663761154806,176.0,176.0,248.90158697766472,0.11299435028248585,0.11299435028248585,0.15979814264102765,,,
Blankj_AndroidUtilCode,4.224777779454597,4.224777779454597,1.9174179509290914,8963.0,8963.0,7387.851649837048,7.834883720930232,7.834883720930232,8.435948342992997,9246.0,9246.0,0.0,36423.0,36423.0,5051.570844796695,33.168652943573335,33.168652943573335,37.51254776918206,6031.0,6031.0,4579.223514964082,2932.0,2932.0,2808.6281348729667,457.0,457.0,0.0,1882.0,1882.0,0.0,5505.5,5505.5,7785.952767645074,1197.0,1197.0,1692.8136341605948,1704.5,1704.5,2410.5270170649405,0.2038422649140546,0.2038422649140546,0.2882764956263053,,,
CeuiLiSA_Pixiv-Shaft,4.316472177632053,4.316472177632053,2.4327906958079732,8081.5,8081.5,2592.9605666110697,4.064786669247204,4.064786669247204,3.2970248037237067,6620.0,6620.0,0.0,33416.0,33416.0,3729.2811639778515,21.446628034503306,21.446628034503306,18.93234338405487,6503.5,6503.5,2773.979902594826,1578.0,1578.0,181.01933598375618,210.0,210.0,0.0,1074.0,1074.0,0.0,4576.0,4576.0,6471.441261419283,215.5,215.5,304.763022691402,242.0,242.0,342.239682094289,0.02539931919350615,0.02539931919350615,0.03592006167849966,,,
ChrisRM_material-theme-jetbrains,4.169924391989397,4.169924391989397,3.1308271513056174,3233.5,3233.5,1349.8668452851193,4.809144395731202,4.809144395731202,4.85719155103718,2943.0,2943.0,0.0,13330.0,13330.0,1678.6714985368637,23.167757154239556,23.167757154239556,24.743233776686328,1892.0,1892.0,489.31789258109086,1341.5,1341.5,860.5489527040284,44.0,44.0,0.0,201.0,201.0,0.0,2187.0,2187.0,3092.885060909959,345.0,345.0,487.9036790187178,293.5,293.5,415.0716805565034,0.09388136384866885,0.09388136384866885,0.1327682980088707,,,
Col-E_Recaf,6.505306929819342,6.505306929819342,6.770506713822487,15695.0,15695.0,2350.422940664084,6.29833678633213,6.29833678633213,6.088807112482885,16289.0,16289.0,12.727922061357855,64824.0,64824.0,10255.876754329685,26.970784149704127,26.970784149704127,28.175610292767065,10583.5,10583.5,3312.795269858975,5111.5,5111.5,962.3723291948912,919.0,919.0,0.0,2683.5,2683.5,3.5355339059327378,12734.0,12734.0,18008.59550325899,988.0,988.0,1397.2429996246178,1045.0,1045.0,1477.8531726798844,0.2183253764230628,0.2183253764230628,0.3087587083477066,,,
DImuthuUpe_AndroidPdfViewer,4.80854616433846,4.80854616433846,3.198426792715728,676.5,676.5,386.7874093090415,7.382061050750199,7.382061050750199,7.672047047839365,730.0,730.0,0.0,3004.5,3004.5,457.49808742769625,32.786816236301206,32.786816236301206,36.20266324277545,381.5,381.5,140.71424945612296,295.0,295.0,246.07315985291854,31.0,31.0,0.0,100.0,100.0,0.0,400.0,400.0,565.685424949238,63.5,63.5,89.80256121069154,91.5,91.5,129.4005409571382,0.08579088471849865,0.08579088471849865,0.1213266326968875,,,
DerekYRC_mini-spring,4.183879425490163,4.183879425490163,2.8626146992797543,902.0,902.0,32.526911934581186,2.6084131721715615,2.6084131721715615,1.7117340779932977,569.0,569.0,0.0,2209.5,2209.5,371.23106012293744,10.687193905314711,10.687193905314711,8.348682658119637,493.5,493.5,20.506096654409877,408.5,408.5,12.020815280171307,36.0,36.0,0.0,49.0,49.0,0.0,324.5,324.5,458.91230099006935,31.5,31.5,44.54772721475249,31.5,31.5,44.54772721475249,0.0687960687960688,0.0687960687960688,0.09729233352935297,,,
Devlight_InfiniteCycleViewPager,3.9042718172846467,3.9042718172846467,3.1017792739092402,421.0,421.0,241.83051916579925,14.049414916114479,14.049414916114479,15.658931010133504,1030.0,1030.0,0.0,3260.0,3260.0,429.9209229614209,47.735090934724376,47.735090934724376,55.425487884309824,256.0,256.0,69.29646455628166,165.0,165.0,172.5340546095176,49.0,49.0,0.0,305.0,305.0,0.0,428.5,428.5,605.9905114768712,70.0,70.0,98.99494936611666,171.0,171.0,241.83051916579925,0.0404624277456647,0.0404624277456647,0.057222514084460434,,,
DroidPluginTeam_DroidPlugin,3.8078062887683046,3.8078062887683046,1.0382851127861452,4081.0,4081.0,722.6631303726516,4.121064410313007,4.121064410313007,1.8097676086746655,4245.0,4245.0,0.0,18742.5,18742.5,5032.478961704659,19.268046741674077,19.268046741674077,12.876028115504111,2627.5,2627.5,44.54772721475249,1453.5,1453.5,678.1154031578991,221.0,221.0,0.0,1077.0,1077.0,0.0,2001.5,2001.5,2830.5484450897497,222.5,222.5,314.66251762801363,260.0,260.0,367.6955262170047,0.001338688085676,0.001338688085676,0.0018931908465502749,,,
